PLEASER_ITEM,DESCRIPTION,BRAND,SUB_CATEGORY,2ND_SUB_CATEGORY,STYLE_NAME,COLOR_DESCRIPTION,WHOLESALE_PRICE_US,SIZE_RANGE,IMAGE_FULL,IMAGE_THUMBNAIL,BLANK_1,BLANK_2,HEEL_PLATFORM,MSRP_USD_FOR_INTL_ACCT,DESCRIPTION_ADDITION,ITEM_STATUS,SALE_DATE,MAP_US_DOLLAR,MAP_ACTIVATION_DATE,MSRP_EURO_FOR_INTL_ACCT,FIT_GUIDE,MSRP_USD_FOR_DOMESTIC_ACCT,MSRP_GBP_FOR_INTL_ACCT,CALF_CIRCUMFERENCE,BOOT_SHAFT_HEIGHT,FIRST_RCV_DATE,WHOLESALE_PRICE_NETHERLANDS,VEGAN_STYLE,MULTIVIEW_IMAGE_1,MULTIVIEW_IMAGE_2,MULTIVIEW_IMAGE_3,MULTIVIEW_IMAGE_4,HTML5_LINK,UPPER_MATERIAL,MID-SOLE_MATERIAL,LINING_MATERIAL,OUTSOLE_MATERIAL,HS_CODE,HEEL_HEIGHT_IN_INCH,HEEL_HEIGHT_IN_CM,PLATFORM_HEIGHT_IN_INCH,PLATFORM_HEIGHT_IN_CM,MSRP_YEN,MSRP_CAD,MSRP_RUBLE,MSRP_AUD,MSRP_UAH
AMU10/CR,"5"" Heel, Closed Back Sandal W/ Buckled Ankle Strap",Pleaser,Single Soles,5" Heel,AMUSE-10,Cream Pat,25.00,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-10-cr.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-10-cr_t.jpg,,,"5"" Heel,",75.95,"5"""" (12.7cm) Stiletto Heel Closed Back Open Toe Sandal with Buckle Ankle Strap",CURRENT,,51.95,06/12/2014,61.95,TRUE TO SIZE,,54.95,,,07/10/2014,36.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-10-cr01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-cr05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-cr09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-cr13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-10-cr/Preview.html,PAT,SEMI-PU,PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,8399.00,96.95,5499,100.95,2199.00
AMU10/GMPU,"*5"" Heel, Closed Back Sandal w/ Buckled Ankle Strap",Pleaser,Single Soles,5" Heel,AMUSE-10,Gold Mat. Pu,14.50,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-10-gmpu.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-10-gmpu_t.jpg,,,"5"" Heel,",53.95,"5"""" (12.7cm) Stiletto Heel Closed Back Open Toe Sandal with Buckle Ankle Strap",SALE,06/12/2018,,,43.95,TRUE TO SIZE,42.95,38.95,,,07/20/2017,22.50,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-10-gmpu01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-gmpu05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-gmpu09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-gmpu13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-10-gmpu/Preview.html,PU,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,,1.0,5299.00,60.95,3499,63.95,1399.00
AMU10/R,"5"" Heel, Closed Back Sandal w/ Buckled Ankle Strap",Pleaser,Single Soles,5" Heel,AMUSE-10,Red Pat,25.00,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-10-r.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-10-r_t.jpg,,,"5"" Heel,",75.95,"5"""" (12.7cm) Stiletto Heel Closed Back Open Toe Sandal with Buckle Ankle Strap",CURRENT,,51.95,06/09/2017,61.95,TRUE TO SIZE,,54.95,,,07/21/2017,36.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-10-r01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-r05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-r09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-r13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-10-r/Preview.html,PAT,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,8399.00,96.95,5499,100.95,2199.00
AMU10/ROGLDMPU,"**5"" Heel Close Back Sandal w/ Buckle Ankle Strap",Pleaser,Single Soles,5" Heel,AMUSE-10,Rose Gold Metallic Pu,26.00,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-10-rogldmpu.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-10-rogldmpu_t.jpg,,,"5"" Heel Close Back Sandal",79.95,"5"""" (127mm) Heel Close Back Open Toe Sandal w/ Buckle Ankle Strap",CURRENT,,53.95,08/19/2019,65.95,TRUE TO SIZE,,57.95,,,12/27/2019,38.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-10-rogldmpu01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-rogldmpu05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-rogldmpu09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-rogldmpu13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-10-rogldmpu/Preview.html,PU,SEMI-PU,PU,RUBBER,6402.99.3165,5.0,12.7,.0,.0,8799.00,101.95,5799,105.95,2299.00
AMU10/SMPU,"*5"" Heel, Closed Back Sandal w/ Buckled Ankle Strap",Pleaser,Single Soles,5" Heel,AMUSE-10,Slv Met. Pu,14.50,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-10-smpu.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-10-smpu_t.jpg,,,"5"" Heel,",53.95,"5"""" (12.7cm) Stiletto Heel Closed Back Open Toe Sandal with Buckle Ankle Strap",SALE,06/12/2018,,,43.95,TRUE TO SIZE,42.95,38.95,,,07/27/2017,22.50,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-10-smpu01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-smpu05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-smpu09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-10-smpu13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-10-smpu/Preview.html,PU,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,,1.0,5299.00,60.95,3499,63.95,1399.00
AMU13/B,"5"" Heel Criss-Cross Strap Sandal",Pleaser,Single Soles,5" Heel,AMUSE-13,Blk Pat,25.00,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-13-b.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-13-b_t.jpg,,,"5"" Heel,",75.95,"5"""" (12.7cm) Stiletto Heel Ankle Strap Sandal Featuring Overlapping Criss-Cross Straps",CURRENT,,51.95,06/09/2017,61.95,TRUE TO SIZE,,54.95,,,07/14/2017,36.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-13-b01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-b05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-b09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-b13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-13-b/Preview.html,PAT,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,8399.00,96.95,5499,100.95,2199.00
AMU13/GMPU,"*5"" Heel Criss-Cross Strap Sandal",Pleaser,Single Soles,5" Heel,AMUSE-13,Gold Mat. Pu,14.50,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-13-gmpu.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-13-gmpu_t.jpg,,,"5"" Heel,",53.95,"5"""" (12.7cm) Stiletto Heel Ankle Strap Sandal Featuring Overlapping Criss-Cross Straps",SALE,06/12/2018,,,43.95,TRUE TO SIZE,42.95,38.95,,,07/14/2017,22.50,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-13-gmpu01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-gmpu05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-gmpu09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-gmpu13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-13-gmpu/Preview.html,PU,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,,1.0,5299.00,60.95,3499,63.95,1399.00
AMU13/ND,"*5"" Heel Criss-Cross Strap Sandal",Pleaser,Single Soles,5" Heel,AMUSE-13,Nude Pat,14.50,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-13-nd.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-13-nd_t.jpg,,,"5"" Heel,",53.95,"5"""" (12.7cm) Stiletto Heel Ankle Strap Sandal Featuring Overlapping Criss-Cross Straps",SALE,06/24/2021,,,43.95,TRUE TO SIZE,42.95,38.95,,,07/14/2017,22.50,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-13-nd01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-nd05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-nd09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-nd13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-13-nd/Preview.html,PAT,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,5299.00,60.95,3499,63.95,1399.00
AMU13/SMPU,"*5"" Heel Criss-Cross Strap Sandal",Pleaser,Single Soles,5" Heel,AMUSE-13,Slv Met. Pu,14.50,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-13-smpu.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-13-smpu_t.jpg,,,"5"" Heel,",53.95,"5"""" (12.7cm) Stiletto Heel Ankle Strap Sandal Featuring Overlapping Criss-Cross Straps",SALE,06/12/2018,,,43.95,TRUE TO SIZE,42.95,38.95,,,07/20/2017,22.50,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-13-smpu01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-smpu05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-smpu09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-13-smpu13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-13-smpu/Preview.html,PU,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,,1.0,5299.00,60.95,3499,63.95,1399.00
AMU14/B,"*5"" Heel, Closed Back Ankle Strap Sandal",Pleaser,Single Soles,5" Heel,AMUSE-14,Blk Pat,9.50,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-14-b.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-14-b_t.jpg,,,"5"" Heel,",45.95,"5"""" (12.7cm) Stiletto Heel Ankle Strap Peep Toe Closed Back Sandal",SALE,03/15/2019,,,37.95,TRUE TO SIZE,35.95,32.95,,,09/24/2014,16.50,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-14-b01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-14-b05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-14-b09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-14-b13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-14-b/Preview.html,PAT,SEMI-PU,PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,3799.00,44.95,2499,45.95,999.00
AMU15/B,"5"" Heel, Strappy Sandal W/ Cutout Detail",Pleaser,Single Soles,5" Heel,AMUSE-15,Blk Pat,28.00,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-15-b.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-15-b_t.jpg,,,"5"" Heel,",83.95,"5"""" (12.7cm) Stiletto Heel Strappy Peep Toe Sandal with Cutout Detail",CURRENT,,57.95,04/01/2014,68.95,TRUE TO SIZE,,60.95,,,09/17/2014,40.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-15-b01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-b05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-b09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-b13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-15-b/Preview.html,PAT,SEMI-PU,PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,9199.00,106.95,6099,111.95,2399.00
AMU15/GMPU,"*5"" Heel, Strappy Sandal W/ Cutout Detail",Pleaser,Single Soles,5" Heel,AMUSE-15,Gold Met Pu,9.50,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-15-gmpu.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-15-gmpu_t.jpg,,,"5"" Heel,",41.95,"5"""" (12.7cm) Stiletto Heel Strappy Peep Toe Sandal with Cutout Detail",SALE,06/12/2018,,,33.95,TRUE TO SIZE,32.95,29.95,,,09/17/2014,16.50,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-15-gmpu01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-gmpu05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-gmpu09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-gmpu13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-15-gmpu/Preview.html,PU,SEMI-PU,PU,RUBBER,6402.99.3165,5.0,12.7,,1.0,3799.00,44.95,2499,45.95,999.00
AMU15/HP,"*5"" Heel, Strappy Sandal W/ Cutout Detail",Pleaser,Single Soles,5" Heel,AMUSE-15,H. Pink Pat,9.50,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-15-hp.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-15-hp_t.jpg,,,"5"" Heel,",45.95,"5"""" (12.7cm) Stiletto Heel Strappy Peep Toe Sandal with Cutout Detail",SALE,03/15/2019,,,37.95,TRUE TO SIZE,35.95,32.95,,,09/11/2014,16.50,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-15-hp01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-hp05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-hp09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-hp13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-15-hp/Preview.html,PAT,SEMI-PU,PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,3799.00,44.95,2499,45.95,999.00
AMU15/SMPU,"*5"" Heel, Strappy Sandal W/ Cutout Detail",Pleaser,Single Soles,5" Heel,AMUSE-15,Slv Met Pu,9.50,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-15-smpu.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-15-smpu_t.jpg,,,"5"" Heel,",45.95,"5"""" (12.7cm) Stiletto Heel Strappy Peep Toe Sandal with Cutout Detail",SALE,06/12/2018,,,37.95,TRUE TO SIZE,35.95,32.95,,,09/04/2014,16.50,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-15-smpu01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-smpu05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-smpu09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-15-smpu13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-15-smpu/Preview.html,PU,SEMI-PU,PU,RUBBER,6402.99.3165,5.0,12.7,,1.0,3799.00,44.95,2499,45.95,999.00
AMU16/B,"*5"" Heel, 3/8"" Hidden Platform T-Strap Sling Back Sandal",Pleaser,Single Soles,5" Heel,AMUSE-16,Blk Pat,9.50,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-16-b.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-16-b_t.jpg,,,"5"" Heel, 3/8"" Hidden Platform",41.95,"T-Strap Sling Back Sandal w/ Cutout Detail",SALE,03/28/2016,,,33.95,TRUE TO SIZE,32.95,29.95,,,06/11/2014,16.50,YES,,,,,,PAT,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,,1.0,3799.00,44.95,2499,45.95,999.00
AMU17/FS-WNSUE,"*5"" Heel, 3/8"" Hidden PF Two Tone T-Strap Sling Back Sandal",Pleaser,Single Soles,5" Heel,AMUSE-17,Fuchsia-Bordeaux-Wine Suede,9.50,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-17-fswnsue.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-17-fswnsue_t.jpg,,,"5"" Heel, 3/8"" Hidden Platform",45.95,"",SALE,03/28/2016,,,37.95,TRUE TO SIZE,35.95,32.95,,,09/09/2014,16.50,NO,,,,,,KIDSKIN+FABRIC,SEMI-PU,SEMI-PU,RUBB,6403.59.9045,5.0,12.7,,1.0,3799.00,44.95,2499,45.95,999.00
AMU19/B,"*5"" Heel,3/8""Hidden PF Sling Back Sandal W/Sculpted Cutouts",Pleaser,Single Soles,5" Heel,AMUSE-19,Blk Pat,9.50,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-19-b.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-19-b_t.jpg,,,"5"" Heel, 3/8"" Hidden Platform",45.95,"",SALE,03/28/2016,,,37.95,TRUE TO SIZE,35.95,32.95,,,08/26/2014,16.50,YES,,,,,,PAT,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,,1.0,3799.00,44.95,2499,45.95,999.00
AMU20/B,"5"" Heel, 3/8"" Hidden Platform Pump",Pleaser,Single Soles,5" Heel,AMUSE-20,Blk Pat,29.00,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-20-b.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-20-b_t.jpg,,,"5"" Heel, 3/8"" Hidden PF",85.95,"5"""" (12.7cm) Stiletto Heel 3/8"""" (1cm) Hidden Platform Classic Pump",CURRENT,,59.95,10/30/2013,69.95,TRUE TO SIZE,,61.95,,,12/27/2013,41.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-20-b01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-b05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-b09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-b13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-20-b/Preview.html,PAT,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,9499.00,109.95,6199,113.95,2399.00
AMU20/BLE,"*5"" Heel, 3/8"" Hidden Platform Pump",Pleaser,Single Soles,5" Heel,AMUSE-20,Blk Leather,24.50,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-20-ble.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-20-ble_t.jpg,,,"5"" Heel, 3/8"" Hidden PF",67.95,"5"""" (12.7cm) Stiletto Heel 3/8"""" (1cm) Hidden Platform Classic Pump",SALE,06/12/2018,,,55.95,TRUE TO SIZE,56.95,48.95,,,07/24/2015,32.50,NO,https://pleaser.sa.metacdn.com/viewpic/amuse-20-ble01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-ble05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-ble09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-ble13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-20-ble/Preview.html,COW LEATHER,SEMI-PU,SEMI-PU,RUBBER,6403.59.9045,5.0,12.7,,1.0,7699.00,89.95,5099,92.95,1999.00
AMU20/BPU,"5"" Heel, 3/8"" Hidden Platform Pump",Pleaser,Single Soles,5" Heel,AMUSE-20,Blk Faux Leather,29.00,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-20-bpu.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-20-bpu_t.jpg,,,"5"" Heel, 3/8"" Hidden PF",85.95,"5"""" (12.7cm) Stiletto Heel 3/8"""" (1cm) Hidden Platform Classic Pump",CURRENT,,59.95,10/30/2013,69.95,TRUE TO SIZE,,61.95,,,03/13/2015,41.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bpu01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bpu05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bpu09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bpu13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-20-bpu/Preview.html,PU,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,9499.00,109.95,6199,113.95,2399.00
AMU20/BSUE,"*5"" Heel, 3/8"" Hidden Platform Pump",Pleaser,Single Soles,5" Heel,AMUSE-20,Blk Suede,14.50,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-20-bsue.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-20-bsue_t.jpg,,,"5"" Heel, 3/8"" Hidden PF",49.95,"5"""" (12.7cm) Stiletto Heel 3/8"""" (1cm) Hidden Platform Classic Pump",SALE,07/21/2017,,,40.95,TRUE TO SIZE,39.95,35.95,,,01/06/2016,22.50,NO,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bsue01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bsue05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bsue09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bsue13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-20-bsue/Preview.html,KIDSKIN,SEMI-PU,SEMI-PU,RUBBER,6403.59.9045,5.0,12.7,,1.0,5299.00,60.95,3499,63.95,1399.00
AMU20/BVEL,"5"" Heel, 3/8"" Hidden Platform Pump",Pleaser,Single Soles,5" Heel,AMUSE-20,Blk Velvet,29.00,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-20-bvel.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-20-bvel_t.jpg,,,"5"" Heel, 3/8"" Hidden PF",85.95,"5"""" (12.7cm) Stiletto Heel 3/8"""" (1cm) Hidden Platform Classic Pump",CURRENT,,59.95,10/30/2013,69.95,TRUE TO SIZE,,61.95,,,06/05/2015,41.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bvel01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bvel05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bvel09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-bvel13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-20-bvel/Preview.html,FABRIC,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,9499.00,109.95,6199,113.95,2399.00
AMU20/CR,"5"" Heel, 3/8"" Hidden Platform Pump",Pleaser,Single Soles,5" Heel,AMUSE-20,Cream Pat,29.00,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-20-cr.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-20-cr_t.jpg,,,"5"" Heel, 3/8"" Hidden PF",85.95,"5"""" (12.7cm) Stiletto Heel 3/8"""" (1cm) Hidden Platform Classic Pump",CURRENT,,59.95,10/30/2013,69.95,TRUE TO SIZE,,61.95,,,11/12/2014,41.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-20-cr01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-cr05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-cr09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-cr13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-20-cr/Preview.html,PAT,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,9499.00,109.95,6199,113.95,2399.00
AMU20/HP,"*5"" Heel, 3/8"" Hidden Platform Pump",Pleaser,Single Soles,5" Heel,AMUSE-20,H. Pink Pat,14.50,"5-16",https://pleaser.sa.metacdn.com/picxnw/amuse-20-hp.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-20-hp_t.jpg,,,"5"" Heel, 3/8"" Hidden PF",49.95,"5"""" (12.7cm) Stiletto Heel 3/8"""" (1cm) Hidden Platform Classic Pump",SALE,03/15/2019,,,40.95,TRUE TO SIZE,39.95,35.95,,,09/30/2015,22.50,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-20-hp01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-hp05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-hp09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-hp13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-20-hp/Preview.html,PAT,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,,1.0,5299.00,60.95,3499,63.95,1399.00
AMU20/NFS,"5"" Heel, 3/8"" Hidden Platform Pump",Pleaser,Single Soles,5" Heel,AMUSE-20,Neon Fuchsia Pat,27.00,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-20-nfs.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-20-nfs_t.jpg,,,"5"" Heel, 3/8"" Hidden PF",81.95,"5"""" (12.7cm) Stiletto Heel 3/8"""" (1cm) Hidden Platform Classic Pump",CURRENT,,55.95,10/30/2013,66.95,TRUE TO SIZE,,58.95,,,12/28/2015,39.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-20-nfs01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-nfs05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-nfs09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-nfs13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-20-nfs/Preview.html,PAT,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,8999.00,104.95,5899,108.95,2299.00
AMU20/NGN,"5"" Heel, 3/8"" Hidden Platform Pump",Pleaser,Single Soles,5" Heel,AMUSE-20,Neon Green Pat,29.00,"5-14",https://pleaser.sa.metacdn.com/picxnw/amuse-20-ngn.jpg,https://pleaser.sa.metacdn.com/picxnw/amuse-20-ngn_t.jpg,,,"5"" Heel, 3/8"" Hidden PF",85.95,"5"""" (12.7cm) Stiletto Heel 3/8"""" (1cm) Hidden Platform Classic Pump",CURRENT,,59.95,10/30/2013,69.95,TRUE TO SIZE,,61.95,,,10/09/2015,41.00,YES,https://pleaser.sa.metacdn.com/viewpic/amuse-20-ngn01.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-ngn05.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-ngn09.jpg,https://pleaser.sa.metacdn.com/viewpic/amuse-20-ngn13.jpg,https://pleaser.sa.metacdn.com/html5/amuse-20-ngn/Preview.html,PAT,SEMI-PU,SEMI-PU,RUBBER,6402.99.3165,5.0,12.7,.4,1.0,9499.00,109.95,6199,113.95,2399.00
