PLEASER_ITEM,DESCRIPTION,BRAND,SUB_CATEGORY,2ND_SUB_CATEGORY,STYLE_NAME,COLOR_DESCRIPTION,WHOLESALE_PRICE_US,SIZE_RANGE,IMAGE_FULL,IMAGE_THUMBNAIL,BLANK_1,BLANK_2,HEEL_PLATFORM,MSRP_USD_FOR_INTL_ACCT,DESCRIPTION_ADDITION,ITEM_STATUS,SALE_DATE,MAP_US_DOLLAR,MAP_ACTIVATION_DATE,MSRP_EURO_FOR_INTL_ACCT,FIT_GUIDE,MSRP_USD_FOR_DOMESTIC_ACCT,MSRP_GBP_FOR_INTL_ACCT,CALF_CIRCUMFERENCE,BOOT_SHAFT_HEIGHT,FIRST_RCV_DATE,WHOLESALE_PRICE_NETHERLANDS,VEGAN_STYLE,MULTIVIEW_IMAGE_1,MULTIVIEW_IMAGE_2,MULTIVIEW_IMAGE_3,MULTIVIEW_IMAGE_4,HTML5_LINK,UPPER_MATERIAL,MID-SOLE_MATERIAL,LINING_MATERIAL,OUTSOLE_MATERIAL,HS_CODE,HEEL_HEIGHT_IN_INCH,HEEL_HEIGHT_IN_CM,PLATFORM_HEIGHT_IN_INCH,PLATFORM_HEIGHT_IN_CM,MSRP_YEN,MSRP_CAD,MSRP_RUBLE,MSRP_AUD,MSRP_UAH
HB-502-1/BPNY,"8""X3""X5"" Cosmetic Bag",Accessories,,,HB-502-1,B. Pink Nylon,4.00,"1",https://pleaser.sa.metacdn.com/picxnw/hb-502-1-bpny.jpg,https://pleaser.sa.metacdn.com/picxnw/hb-502-1-bpny_t.jpg,,,"",,"8""""X3""""X5"""" Cosmetic Bag With All Over Printed Pleaser Print Design. Featuring a Front Zip Closure Pocket",NEW,,,,,,9.95,,,,10/29/2021,.00,YES,,,,,,,,,,4902.92.4500,,,,,,,,,
HB-502-2/BNY,"8""X3""X5"" Cosmetic Bag",Accessories,,,HB-502-2,Blk Nylon,4.00,"1",https://pleaser.sa.metacdn.com/picxnw/hb-502-2-bny.jpg,https://pleaser.sa.metacdn.com/picxnw/hb-502-2-bny_t.jpg,,,"",,"8""""X3""""X5"""" Cosmetic Bag With All Over Printed Demonia Print Design. Featuring a Front Zip Closure Pocket",NEW,,,,,,9.95,,,,10/29/2021,.00,YES,,,,,,,,,,4902.92.4500,,,,,,,,,
HB-503,"COMBO SET OF 4",Accessories,,,HB-503,Blk & B. Pink Nylon,34.00,"1",https://pleaser.sa.metacdn.com/picxnw/hb-503.jpg,https://pleaser.sa.metacdn.com/picxnw/hb-503_t.jpg,,,"",,"PLEASER & DEMONIA BACKPACK & PURSE",NEW,,,,,,79.95,,,,10/29/2021,.00,YES,,,,,,,,,,4202.32.2000,,,,,,,,,
HB-504,"PLEASER COMBO SET OF 2",Accessories,,,HB-504,B. Pink Nylon,17.00,"1",https://pleaser.sa.metacdn.com/picxnw/hb-504.jpg,https://pleaser.sa.metacdn.com/picxnw/hb-504_t.jpg,,,"",,"PLEASER BACKPACK & PURSE",NEW,,,,,,34.95,,,,10/29/2021,.00,YES,,,,,,,,,,4202.32.2000,,,,,,,,,
HB-505,"DEMONIA COMBO SET OF 2",Accessories,,,HB-505,Blk Nylon,17.00,"1",https://pleaser.sa.metacdn.com/picxnw/hb-505.jpg,https://pleaser.sa.metacdn.com/picxnw/hb-505_t.jpg,,,"",,"DEMONIA BACKPACK & PURSE",NEW,,,,,,34.95,,,,10/29/2021,.00,,,,,,,,,,,4202.32.2000,,,,,,,,,
LS-BOR-V1,"Bordello Linesheet W/ Wholesale Prices",Accessories,,,LS-BORDELLO-V1,Bordello Linesheet W/ Wholesale Prices,1.00,"1",https://pleaser.sa.metacdn.com/picxnw/catalog-bordello.jpg,https://pleaser.sa.metacdn.com/picxnw/catalog-bordello_t.jpg,,,"",,"",CURRENT,,,,.00,,,.00,,,,1.00,YES,,,,,,,,,,4911.10.0080,,,,,,,,,
LS-DEV-V1,"Devious Linesheet W/ Wholesale Prices",Accessories,,,LS-DEV-V1,Devious Linesheet W/ Wholesale Prices,1.00,"",https://pleaser.sa.metacdn.com/picxnw/cat_dvv1.jpg,https://pleaser.sa.metacdn.com/picxnw/cat_dvv1_t.jpg,,,"",,,CURRENT,,,,.00,,,.00,,,,1.00,YES,,,,,,,,,,4911.10.0080,,,,,,,,,
MBDS-2020,"PLEASER Miniature Boot Display Set w/Stand",Accessories,,,MBDS-2020,Miniature Boot Display Set,78.00,"1",https://pleaser.sa.metacdn.com/picxnw/mbds-2020.jpg,https://pleaser.sa.metacdn.com/picxnw/mbds-2020_t.jpg,,,"",,,CURRENT,,,11/16/2020,,,149.95,,,,12/01/2020,97.00,YES,,,,,,,,,,9505.10.2500,,,,,,,,,
MSD-ACRYLIC,"Acrylic Shelves Replacement For MSD-1 (6PC)",Accessories,,,MSD-ACRYLIC,Clr,10.00,"",https://pleaser.sa.metacdn.com/picxnw/msd-ac.jpg,https://pleaser.sa.metacdn.com/picxnw/msd-ac_t.jpg,,,"",,"",CURRENT,,,,,,,,,,05/04/2016,14.00,YES,,,,,,,,,,3926.90.9995,,,,,,,,,
PLEASER_POFT-DISPLAY,"POP CARDBOARD COUNTERTOP DISPLAY (For Pole Fitness Shoes)",Accessories,,,PLEASER_POFT-DISPLAY,POP CARDBOARD COUNTERTOP DISPLAY (For Pole Fitness Shoes),1.99,"",https://pleaser.sa.metacdn.com/picxnw/poft-disp.jpg,https://pleaser.sa.metacdn.com/picxnw/poft-disp_t.jpg,,,"",,"",CURRENT,,,,,,,,,,10/23/2020,.00,,,,,,,,,,,4911.10.0080,,,,,,,,,
